Country (region),Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Healthy life
expectancy"
Finland,1,41,10,2,5,4,47,27
Denmark,2,24,26,4,6,3,22,23
Norway,3,16,29,3,3,8,11,12
Iceland,4,3,3,1,7,45,3,13
Netherlands,5,12,25,15,19,12,7,18
Switzerland,6,44,21,13,11,7,16,4
Sweden,7,34,8,25,10,6,17,17
New Zealand,8,22,12,5,8,5,8,14
Canada,9,18,49,20,9,11,14,8
Austria,10,64,24,31,26,19,25,15
Australia,11,47,37,7,17,13,6,10
Costa Rica,12,4,87,42,16,58,75,28
Israel,13,104,69,38,93,74,24,11
Luxembourg,14,62,19,27,28,9,30,16
United Kingdom,15,52,42,9,63,15,4,24
Ireland,16,33,32,6,33,10,9,20
Germany,17,65,30,39,44,17,19,25
Belgium,18,57,53,22,53,20,44,26
United States,19,35,70,37,62,42,12,39
Czech Republic,20,74,22,24,58,121,117,31
United Arab Emirates,21,43,56,72,4,0,15,60
Malta,22,83,103,16,12,32,5,19
Mexico,23,6,40,67,71,87,120,46
France,24,56,66,32,69,21,68,5
Taiwan,25,17,1,48,102,56,56,0
Chile,26,15,78,58,98,99,45,30
Guatemala,27,8,85,78,25,82,78,85
Saudi Arabia,28,49,82,62,68,0,82,74
Qatar,29,0,0,0,0,0,0,43
Spain,30,107,107,26,95,78,50,3
Panama,31,7,48,41,32,104,88,33
Brazil,32,69,105,43,84,71,108,72
Uruguay,33,10,76,35,30,33,80,35
Singapore,34,38,2,36,20,1,21,1
El Salvador,35,23,84,83,74,85,134,75
Italy,36,99,123,23,132,128,48,7
Bahrain,37,39,83,59,24,0,23,42
Slovakia,38,53,47,21,108,142,70,38
Trinidad and Tobago,39,14,52,29,51,141,41,93
Poland,40,76,33,44,52,108,77,36
Uzbekistan,41,19,15,11,1,18,29,83
Lithuania,42,138,41,17,122,113,124,62
Colombia,43,30,88,52,56,124,111,51
Slovenia,44,114,71,14,13,97,54,29
Nicaragua,45,31,125,66,70,43,71,53
Kosovo,46,71,7,85,50,144,31,0
Argentina,47,28,93,46,54,109,123,37
Romania,48,80,62,86,57,146,102,61
Cyprus,49,60,99,90,81,115,39,6
Ecuador,50,11,113,71,42,68,95,45
Kuwait,51,89,97,69,47,0,42,70
Thailand,52,20,35,53,18,131,10,58
Latvia,53,119,38,34,126,92,105,68
South Korea,54,101,45,91,144,100,40,9
Estonia,55,50,6,12,45,30,83,41
Jamaica,56,51,51,28,49,130,119,55
Mauritius,57,55,16,54,40,96,37,73
Japan,58,73,14,50,64,39,92,2
Honduras,59,13,73,84,39,79,51,57
Kazakhstan,60,81,5,19,80,57,57,88
Bolivia,61,70,138,93,35,91,104,94
Hungary,62,86,31,51,138,140,100,56
Paraguay,63,1,39,30,34,76,67,81
Northern Cyprus,64,144,90,81,77,29,43,0
Peru,65,36,127,77,61,132,126,47
Portugal,66,97,100,47,37,135,122,22
Pakistan,67,130,111,130,114,55,58,114
Russia,68,96,9,40,107,127,101,89
Philippines,69,42,116,75,15,49,115,99
Serbia,70,148,92,57,124,118,84,48
Moldova,71,133,67,65,128,148,86,86
Libya,72,85,137,73,79,31,87,96
Montenegro,73,143,118,60,139,77,76,44
Tajikistan,74,120,54,113,86,35,72,92
Croatia,75,122,101,79,118,139,81,32
Hong Kong,76,105,28,76,66,14,18,0
Dominican Republic,77,66,77,55,43,52,93,80
Bosnia and Herzegovina ,78,116,79,92,137,145,32,50
Turkey,79,154,121,61,140,50,98,69
Malaysia,80,25,23,97,36,137,27,59
Belarus,81,149,36,33,131,37,103,76
Greece,82,102,94,102,150,123,152,21
Mongolia,83,95,17,10,112,119,38,97
Macedonia,84,140,89,74,105,125,55,52
Nigeria,85,61,55,111,75,114,59,145
Kyrgyzstan,86,58,4,45,38,138,36,91
Turkmenistan,87,135,63,8,83,0,33,100
Algeria,88,113,106,101,149,46,128,78
Morocco,89,110,91,139,76,84,154,79
Azerbaijan,90,134,20,104,101,22,146,82
Lebanon,91,150,61,89,136,133,63,66
Indonesia,92,9,104,94,48,129,2,98
China,93,21,11,108,31,0,133,34
Vietnam,94,121,27,64,23,86,97,49
Bhutan,95,37,98,68,59,25,13,104
Cameroon,96,106,129,129,90,120,91,141
Bulgaria,97,117,13,18,115,147,112,65
Ghana,98,92,72,132,91,117,52,121
Ivory Coast,99,88,130,137,100,62,114,147
Nepal,100,137,134,87,67,65,46,95
Jordan,101,112,120,88,88,0,118,63
Benin,102,118,148,153,103,75,116,133
Congo (Brazzaville),103,124,136,138,92,60,140,116
Gabon,104,111,144,95,119,103,143,108
Laos,105,5,112,120,22,27,34,112
South Africa,106,40,80,63,85,102,89,123
Albania,107,90,108,133,87,134,60,40
Venezuela,108,77,135,49,145,110,139,71
Cambodia,109,27,142,109,2,94,61,102
Palestinian Territories,110,128,140,82,134,90,147,0
Senegal,111,68,60,106,121,88,130,109
Somalia,112,2,18,145,14,16,96,144
Namibia,113,75,59,70,82,98,142,122
Niger,114,79,141,140,111,51,135,138
Burkina Faso,115,115,117,116,127,47,125,136
Armenia,116,126,145,117,123,93,129,64
Iran,117,109,150,134,117,44,28,77
Guinea,118,82,143,136,109,70,94,137
Georgia,119,141,43,147,104,28,153,84
Gambia,120,29,109,125,89,26,64,130
Kenya,121,59,46,123,72,105,26,106
Mauritania,122,94,58,99,151,67,148,120
Mozambique,123,108,131,122,46,40,121,134
Tunisia,124,147,132,121,143,101,144,67
Bangladesh,125,145,68,126,27,36,107,90
Iraq,126,151,154,124,130,66,73,107
Congo (Kinshasa),127,125,95,107,125,106,127,140
Mali,128,48,122,112,110,107,138,142
Sierra Leone,129,139,149,135,116,112,79,146
Sri Lanka,130,32,81,80,55,111,35,54
Myanmar,131,45,86,96,29,24,1,110
Chad,132,136,151,141,142,80,106,148
Ukraine,133,131,44,56,141,143,66,87
Ethiopia,134,100,74,119,106,53,99,115
Swaziland,135,26,57,103,113,41,145,0
Uganda,136,91,139,114,99,95,74,127
Egypt,137,146,124,118,129,89,132,101
Zambia,138,84,128,115,73,69,53,131
Togo,139,123,147,149,120,72,131,132
India,140,93,115,142,41,73,65,105
Liberia,141,103,146,127,94,126,110,126
Comoros,142,67,114,143,148,81,62,117
Madagascar,143,46,96,128,146,116,136,111
Lesotho,144,72,64,98,97,59,151,149
Burundi,145,98,126,152,135,23,149,135
Zimbabwe,146,63,34,110,96,63,141,129
Haiti,147,142,119,146,152,48,20,125
Botswana,148,87,65,105,60,54,150,113
Syria,149,155,155,154,153,38,69,128
Malawi,150,129,110,150,65,64,109,119
Yemen,151,153,75,100,147,83,155,124
Rwanda,152,54,102,144,21,2,90,103
Tanzania,153,78,50,131,78,34,49,118
Afghanistan,154,152,133,151,155,136,137,139
Central African Republic,155,132,153,155,133,122,113,150
South Sudan,156,127,152,148,154,61,85,143
